zip,beds,baths,sqft,price,Mon,Thu,Tue,Wed,type_Multi-Family,type_Residential
95838,2,1,836,59222,0,0,0,1,0,1
95823,3,1,1167,68212,0,0,0,1,0,1
95815,2,1,796,68880,0,0,0,1,0,1
95815,2,1,852,69307,0,0,0,1,0,1
95824,2,1,797,81900,0,0,0,1,0,1
95841,3,1,1122,89921,0,0,0,1,0,0
95842,3,2,1104,90895,0,0,0,1,0,1
95820,3,1,1177,91002,0,0,0,1,0,1
95670,2,2,941,94905,0,0,0,1,0,0
95673,3,2,1146,98937,0,0,0,1,0,1
95838,3,2,909,100309,0,0,0,1,0,1
95823,3,2,1289,106250,0,0,0,1,0,1
95815,1,1,871,106852,0,0,0,1,0,1
95822,3,1,1020,107502,0,0,0,1,0,1
95842,2,2,1022,108750,0,0,0,1,0,1
95842,2,2,1134,110700,0,0,0,1,0,0
95673,2,1,844,113263,0,0,0,1,0,1
95621,2,1,795,116250,0,0,0,1,0,0
95833,2,1,588,120000,0,0,0,1,0,1
95673,3,2,1356,121630,0,0,0,1,0,1
95621,3,2,1118,122000,0,0,0,1,0,1
95823,4,2,1329,122682,0,0,0,1,0,1
95660,4,2,1240,123000,0,0,0,1,0,1
95834,3,2,1601,124100,0,0,0,1,0,1
95660,3,2,901,125000,0,0,0,1,0,1
95843,3,2,1088,126640,0,0,0,1,0,1
95820,3,1,963,127281,0,0,0,1,0,1
95832,3,2,1119,129000,0,0,0,1,0,1
95827,4,2,1380,131200,0,0,0,1,0,1
95828,3,2,1248,132000,0,0,0,1,0,1
95758,2,2,1039,133000,0,0,0,1,0,0
95660,3,2,1152,134555,0,0,0,1,0,1
95827,3,2,1380,136500,0,0,0,1,0,1
95626,3,2,1116,138750,0,0,0,1,0,1
95758,2,2,1039,141000,0,0,0,1,0,0
95823,3,2,1418,146250,0,0,0,1,0,1
95660,3,2,1082,147308,0,0,0,1,0,1
95823,4,2,1472,148750,0,0,0,1,0,1
95828,4,2,1146,149593,0,0,0,1,0,1
95825,1,1,760,150000,0,0,0,1,0,0
95835,2,2,1304,152000,0,0,0,1,0,0
95822,3,2,1207,154000,0,0,0,1,0,1
95624,3,2,1056,156896,0,0,0,1,0,1
95843,2,2,1043,161250,0,0,0,1,0,1
95660,4,2,1587,161500,0,0,0,1,0,1
95833,4,1,1120,164000,0,0,0,1,0,1
95823,4,2,1580,165000,0,0,0,1,0,1
95823,4,1,1955,166357,0,0,0,1,0,1
95838,4,2,1656,166357,0,0,0,1,0,1
95823,3,2,1477,168000,0,0,0,1,0,1
95624,3,2,1188,170000,0,0,0,1,0,1
95828,4,2,1590,173000,0,0,0,1,0,1
95823,3,2,1463,174250,0,0,0,1,0,1
95828,4,2,1714,174313,0,0,0,1,0,1
95823,3,2,1185,178480,0,0,0,1,0,1
95632,3,2,1406,178760,0,0,0,1,0,1
95842,4,2,1943,179580,0,0,0,1,1,0
95826,3,2,1172,181000,0,0,0,1,0,1
95608,3,1,1152,181872,0,0,0,1,0,1
95823,4,3,1851,182587,0,0,0,1,0,1
95843,3,2,1215,182716,0,0,0,1,0,1
95632,3,2,1130,182750,0,0,0,1,0,1
95662,4,2,1603,183200,0,0,0,1,0,1
95632,3,1,1479,188741,0,0,0,1,0,1
95823,3,2,1420,189000,0,0,0,1,0,1
95826,3,2,1280,192067,0,0,0,1,0,1
95758,3,2,1586,194000,0,0,0,1,0,1
95843,3,2,1362,194818,0,0,0,1,0,1
95828,4,4,2162,195000,0,0,0,1,1,0
95823,3,2,1266,198000,0,0,0,1,0,1
95624,4,2,1715,199500,0,0,0,1,0,1
95630,3,2,1820,200000,0,0,0,1,0,1
95608,3,1,936,200000,0,0,0,1,0,1
95834,3,2,1511,208000,0,0,0,1,0,1
95823,4,2,1590,212864,0,0,0,1,0,1
95758,4,2,1596,221000,0,0,0,1,0,1
95835,2,2,1341,221000,0,0,0,1,0,1
95624,5,3,2136,223058,0,0,0,1,0,1
95624,4,2,1616,227887,0,0,0,1,0,1
95823,3,2,1478,231477,0,0,0,1,0,1
95670,3,2,1287,234697,0,0,0,1,0,1
95621,4,2,1277,235000,0,0,0,1,0,1
95833,4,2,1448,236000,0,0,0,1,0,1
95829,4,3,2235,236685,0,0,0,1,0,1
95655,3,2,2093,237800,0,0,0,1,0,1
95673,3,2,1193,240122,0,0,0,1,0,1
95757,3,2,2163,242638,0,0,0,1,0,1
95828,3,2,1269,244000,0,0,0,1,0,1
95828,3,1,958,244960,0,0,0,1,0,1
95624,5,3,2508,245918,0,0,0,1,0,1
95621,3,2,1305,250000,0,0,0,1,0,1
95758,4,2,1591,250000,0,0,0,1,0,1
95608,2,2,1326,250134,0,0,0,1,0,0
95757,3,2,1843,254200,0,0,0,1,0,1
95841,4,2,1921,254200,0,0,0,1,0,1
95758,5,3,2790,258000,0,0,0,1,0,1
95835,3,2,1541,260000,0,0,0,1,0,1
95820,3,1,1018,260014,0,0,0,1,0,1
95834,3,2,1672,265000,0,0,0,1,0,0
95726,3,2,1380,265000,0,0,0,1,0,1
95822,3,1,975,271742,0,0,0,1,0,1
95829,4,3,2372,273750,0,0,0,1,0,1
95822,3,2,1446,275086,0,0,0,1,0,1
95726,2,2,1284,280908,0,0,0,1,0,1
95832,4,3,3009,280987,0,0,0,1,0,1
95826,8,4,3612,282400,0,0,0,1,1,0
95758,4,2,2056,285000,0,0,0,1,0,1
95624,4,2,1993,287417,0,0,0,1,0,1
95757,3,2,1857,291000,0,0,0,1,0,1
95818,2,1,1126,292024,0,0,0,1,0,1
95827,4,4,2213,297000,0,0,0,1,1,0
95758,5,3,2494,297000,0,0,0,1,0,1
95757,3,2,1843,298000,0,0,0,1,0,1
95670,2,2,1520,299000,0,0,0,1,0,1
95835,5,3,2800,304037,0,0,0,1,0,1
95624,4,2,2309,311000,0,0,0,1,0,1
95827,5,3,2367,315537,0,0,0,1,0,1
95742,5,4,3516,320000,0,0,0,1,0,1
95826,4,3,1914,328360,0,0,0,1,0,1
95662,2,1,1690,334150,0,0,0,1,0,1
95757,3,3,2725,335750,0,0,0,1,0,1
95757,4,3,2354,335750,0,0,0,1,0,1
95630,3,2,2185,344250,0,0,0,1,0,1
95758,4,2,1801,346210,0,0,0,1,0,1
95823,3,3,1961,347029,0,0,0,1,0,1
95757,4,2,3134,347650,0,0,0,1,0,1
95823,4,3,1915,351300,0,0,0,1,0,1
95683,4,3,2734,370500,0,0,0,1,0,1
95693,3,2,2110,372000,0,0,0,1,0,1
95757,5,3,3164,375000,0,0,0,1,0,1
95835,5,3,3599,381300,0,0,0,1,0,1
95831,4,2,2054,381942,0,0,0,1,0,1
95843,4,2,1830,387731,0,0,0,1,0,1
95814,3,3,1627,391000,0,0,0,1,0,1
95757,4,3,3440,394470,0,0,0,1,0,1
95635,3,2,2846,395000,0,0,0,1,0,1
95624,4,3,2359,400186,0,0,0,1,0,1
95831,3,3,2052,415000,0,0,0,1,0,1
95757,5,3,3433,425000,0,0,0,1,0,1
95742,5,3,3615,430000,0,0,0,1,0,1
95630,5,3,2687,460000,0,0,0,1,0,1
95757,4,3,2724,461000,0,0,0,1,0,1
95757,4,3,3440,489332,0,0,0,1,0,1
95757,5,4,3508,510000,0,0,0,1,0,1
95630,4,2,2462,539000,0,0,0,1,0,1
95864,3,3,2325,660000,0,0,0,1,0,1
95621,2,1,795,69000,0,0,1,0,0,0
95817,4,2,1099,70000,0,0,1,0,0,1
95624,2,1,840,71000,0,0,1,0,0,0
95815,2,1,800,78000,0,0,1,0,0,1
95824,2,1,746,78400,0,0,1,0,0,1
95822,3,1,1067,80000,0,0,1,0,0,1
95815,4,2,1316,89000,0,0,1,0,0,1
95815,3,1,1337,90000,0,0,1,0,0,1
95824,2,1,868,90000,0,0,1,0,0,1
95824,3,1,924,92000,0,0,1,0,0,1
95820,2,1,610,93675,0,0,1,0,0,1
95815,2,1,1220,98000,0,0,1,0,0,1
95758,1,1,722,98000,0,0,1,0,0,0
95864,3,1,1643,99000,0,0,1,0,0,1
95758,1,1,722,100000,0,0,1,0,0,0
95632,3,1,1080,106716,0,0,1,0,0,1
95820,3,1,1039,111000,0,0,1,0,0,1
95660,3,1,1051,111000,0,0,1,0,0,1
95842,2,2,967,114800,0,0,1,0,0,1
95670,3,1,1098,120108,0,0,1,0,0,1
95824,3,1,1050,123225,0,0,1,0,0,1
95838,3,2,1110,123750,0,0,1,0,0,1
95660,3,1,888,125000,0,0,1,0,0,1
95822,3,2,1120,125000,0,0,1,0,0,1
95626,3,2,1080,126000,0,0,1,0,0,1
95660,3,1,957,129000,0,0,1,0,0,1
95838,2,1,952,134000,0,0,1,0,0,1
95838,3,2,1211,135000,0,0,1,0,0,1
95815,3,2,1264,135500,0,0,1,0,0,1
95833,3,1,1080,140000,0,0,1,0,0,1
95632,3,2,1266,140000,0,0,1,0,0,1
95628,2,2,994,142500,0,0,1,0,0,0
95834,3,2,1202,143500,0,0,1,0,0,1
95820,2,1,722,145000,0,0,1,0,0,1
95828,4,2,1448,145000,0,0,1,0,0,1
95828,3,2,1188,145000,0,0,1,0,0,1
95660,4,2,1183,146000,0,0,1,0,0,1
95822,3,1,1320,148500,0,0,1,0,0,1
95828,3,2,1117,149000,0,0,1,0,0,1
95828,3,2,1364,150000,0,0,1,0,0,1
95823,4,2,1310,150000,0,0,1,0,0,1
95758,2,2,1006,152000,0,0,1,0,0,1
95621,3,2,1104,156000,0,0,1,0,0,1
95825,2,1,810,156000,0,0,1,0,0,1
95624,2,2,1123,156000,0,0,1,0,0,1
95842,2,1,904,157788,0,0,1,0,0,1
95621,3,2,1156,161653,0,0,1,0,0,1
95820,2,1,1321,161829,0,0,1,0,0,1
95843,3,2,1392,165000,0,0,1,0,0,1
95823,3,2,1439,168000,0,0,1,0,0,1
95842,3,2,1159,169000,0,0,1,0,0,1
95670,3,2,1671,175000,0,0,1,0,0,1
95823,3,2,1740,176250,0,0,1,0,0,1
95823,3,2,1265,179000,0,0,1,0,0,1
95843,2,2,1007,180000,0,0,1,0,0,1
95758,3,2,1716,180400,0,0,1,0,0,1
95758,4,2,1685,182000,0,0,1,0,0,1
95670,4,2,1829,184500,0,0,1,0,0,1
95758,3,2,1555,185000,0,0,1,0,0,1
95608,4,2,1120,189000,0,0,1,0,0,1
95621,3,2,1137,194000,0,0,1,0,0,1
95826,3,1,1174,195000,0,0,1,0,0,1
95843,3,2,1393,200000,0,0,1,0,0,1
95828,3,2,1289,205000,0,0,1,0,0,1
95838,4,2,1799,205000,0,0,1,0,0,1
95823,4,3,1953,205000,0,0,1,0,0,1
95820,2,1,723,207000,0,0,1,0,0,1
95667,2,1,948,211500,0,0,1,0,0,1
95621,4,2,1578,215000,0,0,1,0,0,1
95610,3,2,1317,215000,0,0,1,0,0,1
95824,3,1,1360,222381,0,0,1,0,0,1
95833,3,2,1522,225000,0,0,1,0,0,1
95825,4,2,1751,225000,0,0,1,0,0,1
95624,3,2,1465,225000,0,0,1,0,0,1
95826,4,2,1605,228000,0,0,1,0,0,1
95673,4,2,1475,229665,0,0,1,0,0,1
95722,3,1,1216,230000,0,0,1,0,0,1
95628,2,2,1315,230000,0,0,1,0,0,1
95757,3,2,1567,230000,0,0,1,0,0,1
95835,3,2,1776,234000,0,0,1,0,0,1
95835,3,2,2187,235000,0,0,1,0,0,1
95822,3,1,1291,236250,0,0,1,0,0,1
95842,3,2,1503,245000,0,0,1,0,0,1
95828,4,3,2491,245000,0,0,1,0,0,1
95816,2,1,1269,245000,0,0,1,0,0,1
95662,3,2,1176,250000,0,0,1,0,0,1
